text,commit message for
MAHOUT-1045: committing patch with changes to unit tests. CDbw numbers still need user testing but ClusterEvaluater results are improved. All tests run,improving non-functional requirements
Add notes for coptic bug fix and scalar performance improvement,improving non-functional requirements
cloudStack 3.0 new UI - NaaS - fix a bug that dedicated parameter didnt' get to pass into API call.,bug fixing
"add logic to handle all 2xx response code, bug fix for string response,",bug fixing
Fixed adding route for additional public nic on fail over,bug fixing
[SMALLFIX] Fix the duplicated properties as alias property keys are also added to Default Keys,commits that belong to no category
Improved performance on management of collections,improving non-functional requirements
Add AppSales to featured list,adding new features
Improve performance of NewViolationsDecorator,improving non-functional requirements
suffice to pick up remoting as a transitive dependency through core. This fixes the problem reported at http://www.nabble.com/Build-1.93---NoClassDefFoundError-on-Maven-2-Build-tf3483998.html,bug fixing
Improve logging readability,improving non-functional requirements
[Automation] - Fix test failure for test_02_revert_vm_snapshots in smoke/test_vm_snapshots.py,bug fixing
Some modest improvements to use of JDBC -- better use of prepared statement and reuse of connections in some situations.,improving non-functional requirements
fix issue 1992 - ensure that our variable names don't match the names of the generated enums or we will get a compiler error.  Also fix the escaping of reserved words to use an underscore as the comment implies instead of the word Swagger.,bug fixing
no need now to get version from parent and best not to for feature branches,adding new features
"new UI - template page, ISO page - fix a bug that middle menu item doesn't get updated after right panel is updated.",bug fixing
"bug 7612: fixed a bug where if start when through all retries, we throw an exception",bug fixing
Creating feature branch for Cost based optimizer work,adding new features
Improved performance by avoiding unnecessary NumberFormatException,improving non-functional requirements
Catch all exceptions when change engine and row_format - can fail when table is full. Just skip as its not a critical fix,bug fixing
"NPE in the payload was causing the ssvm agent to not, fix it and also make sure that template/volume sync are robust that exceptions do not cause ssvm agent disconnect issues.",bug fixing
bug 9597: Fixed the recreatable problem.  Also added the 2.2.1 upgrade step,bug fixing
Fix failing tests - remove old duplicate saved_caches_directory entry leaving zznate's fix for relative location under tmp directory.,commits that belong to no category
Improved mmap management when the buffer pool is full. Now performance with millions of writes and random searches are really good. Further work on this in the next days.,improving non-functional requirements
CORE-2985 MSSQL Snapshot performance improvements,improving non-functional requirements
Further improve tag testing.,improving non-functional requirements
HBASE-1183 New MR splitting algorithm and other new features need a way to split a key range in N chunks,adding new features
bug 6745: Fix problems in Async create commands,bug fixing
SONAR-1760: Improve performance of NoSonarFilterLoader,improving non-functional requirements
improved MATCHES operator performances storing the compiled pattern in a,improving non-functional requirements
HADOOP-2519 Performance improvements: Customized RPC serialization,improving non-functional requirements
instance page - fix a bug that instance groups didn't show when login as a user.,bug fixing
Issue #5812 read cache #openFile performance was improved by pre-check that file is already opened.,improving non-functional requirements
"host page - fix a bug ""clearAddButtonsOnTop is not defined"". This function is retired.",bug fixing
[ALLUXIO-2743] Fix failing unit tests,bug fixing
CLOUDSTACK-7199: Fixed test_multiple_ips_per_nic.py test failures,bug fixing
#691 - Performance Improvements,improving non-functional requirements
Support some missing JAPIC features,adding new features
